top - 20:08:01 up 36 min,  1 user,  load average: 0.40, 0.11, 0.04
Tasks: 277 total,   1 running, 276 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,100.0 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   1932.4 total,    114.7 free,   1382.7 used,    613.8 buff/cache     
MiB Swap:    975.0 total,    913.0 free,     62.0 used.    549.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    837 avahi     20   0    8296   3564   3204 S   0.0   0.2   0:00.12 avahi-d+
    838 root      20   0    6612   1188   1048 S   0.0   0.1   0:00.00 cron
    839 message+  20   0   11680   6272   4016 S   0.0   0.3   0:00.34 dbus-da+
    841 root      -2   0  230028   4744   4324 S   0.0   0.2   0:00.01 low-mem+
    842 polkitd   20   0  310816  10208   7092 S   0.0   0.5   0:00.26 polkitd
    843 root      20   0  237260   8588   6108 S   0.0   0.4   0:00.02 power-p+
    844 root      20   0  233508   6704   6152 S   0.0   0.3   0:00.01 switche+
    845 root      20   0   17148   7756   6756 S   0.0   0.4   0:00.06 systemd+
    846 root      20   0  394848  15432  10312 S   0.0   0.8   0:00.11 udisksd
    848 avahi     20   0    8108    332      0 S   0.0   0.0   0:00.00 avahi-d+
    859 root      20   0  259160  21700  16852 S   0.0   1.1   0:00.16 Network+
    865 root      -2   0       0      0      0 S   0.0   0.0   0:00.01 psimon
    872 root      20   0   16540   5772   4944 S   0.0   0.3   0:00.02 wpa_sup+
    880 root      20   0  317332  11432   9576 S   0.0   0.6   0:00.05 ModemMa+
    896 root      20   0   26540   7984   6860 S   0.0   0.4   0:00.01 cupsd
    914 root      20   0  240500   8696   7608 S   0.0   0.4   0:00.03 gdm3
    932 root      20   0  176248  14608  11008 S   0.0   0.7   0:00.02 cups-br+
   1008 rtkit     21   1   22704   1524   1288 S   0.0   0.1   0:00.02 rtkit-d+
   1109 root      20   0  307632   8384   5896 S   0.0   0.4   0:00.03 upowerd
   1121 geoclue   20   0  474168  26384  15108 S   0.0   1.3   0:00.12 geoclue
   1131 colord    20   0  242608  13792   8056 S   0.0   0.7   0:00.08 colord
   1439 root      20   0  165504  10552   7852 S   0.0   0.5   0:00.04 gdm-ses+
   1459 kali      20   0   19752  11296   8860 S   0.0   0.6   0:00.17 systemd
   1461 kali      20   0  103720   2672      0 S   0.0   0.1   0:00.00 (sd-pam)
   1476 kali       9 -11   55140  13400   7776 S   0.0   0.7   0:00.48 pipewire
   1485 kali       9 -11  257360  15460  10324 S   0.0   0.8   0:00.17 wireplu+
   1486 kali       9 -11   34596  10284   6372 S   0.0   0.5   0:00.15 pipewir+
   1487 kali      20   0   10304   5520   4076 S   0.0   0.3   0:00.18 dbus-da+
   1488 kali      20   0  239968  10876   8100 S   0.0   0.5   0:00.03 gnome-k+
   1499 kali      20   0  237708   7808   6852 S   0.0   0.4   0:00.01 gvfsd
   1513 kali      20   0  159452   7776   5596 S   0.0   0.4   0:00.00 gdm-way+
   1520 kali      20   0  380380   8104   5420 S   0.0   0.4   0:00.00 gvfsd-f+
   1526 kali      20   0  298256  18020  14324 S   0.0   0.9   0:00.01 gnome-s+
   1583 kali      39  19  625960  52440  15056 S   0.0   2.7   0:00.41 tracker+
   1584 kali      20   0   88388   7368   4780 S   0.0   0.4   0:00.00 gcr-ssh+
   1585 kali      20   0   88836   6800   4616 S   0.0   0.3   0:00.00 gnome-s+
   1588 kali      20   0    7824   5084   4440 S   0.0   0.3   0:00.00 ssh-age+
   1597 kali      20   0  446676  21920  15096 S   0.0   1.1   0:00.08 gnome-s+
   1612 kali      20   0 3947900 353712 149436 S   0.0  17.9   0:23.00 gnome-s+
   1614 kali      20   0  311212   7748   6968 S   0.0   0.4   0:00.01 at-spi-+
   1620 kali      20   0    9128   4584   4072 S   0.0   0.2   0:00.01 dbus-da+
