Netid State  Recv-Q Send-Q                                          Local Address:Port           Peer Address:Port Process                                                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 18537                     * 18535 users:(("systemd-journal",pid=381,fd=36),("systemd",pid=1,fd=236))                                                                                                                                                                         
u_str ESTAB  0      0                                          /run/user/1000/bus 27670                     * 27669 users:(("dbus-daemon",pid=1909,fd=57))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 25301                     * 24534 users:(("(sd-pam",pid=1883,fd=2),("(sd-pam",pid=1883,fd=1),("systemd",pid=1880,fd=2),("systemd",pid=1880,fd=1))                                                                                                                            
u_dgr UNCONN 0      0                                    /run/samba/msg.sock/1136 22889                     * 0     users:(("nmbd",pid=1136,fd=6))                                                                                                                                                                                                             
u_str ESTAB  0      0                                                           * 25696                     * 25450 users:(("pipewire",pid=1895,fd=2),("pipewire",pid=1895,fd=1))                                                                                                                                                                              
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 19385                     * 19383 users:(("systemd-journal",pid=381,fd=45),("systemd",pid=1,fd=91))                                                                                                                                                                          
u_str ESTAB  0      0                                                           * 18795                     * 18805 users:(("gnome-remote-de",pid=720,fd=7))                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 27054                     * 27055 users:(("dbus-daemon",pid=2131,fd=8))                                                                                                                                                                                                      
u_str LISTEN 0      5                                  /run/samba/nmbd/unexpected 22907                     * 0     users:(("nmbd",pid=1136,fd=19))                                                                                                                                                                                                            
u_str ESTAB  0      0                                                           * 27687                     * 27515 users:(("evolution-calen",pid=2472,fd=5))                                                                                                                                                                                                  
u_str ESTAB  0      768                                        /run/user/1000/bus 27150                     * 27149 users:(("dbus-daemon",pid=1909,fd=23))                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 25471                     * 25740 users:(("systemd-journal",pid=381,fd=90),("systemd",pid=1,fd=207))                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 25691                     * 25447 users:(("wireplumber",pid=1904,fd=2),("wireplumber",pid=1904,fd=1))                                                                                                                                                                        
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 18640                     * 18636 users:(("dbus-daemon",pid=716,fd=19))                                                                                                                                                                                                      
u_str ESTAB  0      0                                          /run/user/1000/bus 27515                     * 27687 users:(("dbus-daemon",pid=1909,fd=58))                                                                                                                                                                                                     
u_str ESTAB  0      0                                   /run/user/1000/at-spi/bus 28405                     * 28404 users:(("dbus-daemon",pid=2131,fd=27))                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 24456                     * 24455 users:(("dbus-daemon",pid=716,fd=54))                                                                                                                                                                                                      
u_str ESTAB  0      1536                              /run/dbus/system_bus_socket 25509                     * 25752 users:(("dbus-daemon",pid=716,fd=69))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 27057                     * 27058 users:(("gnome-shell",pid=2121,fd=5))                                                                                                                                                                                                      
u_str LISTEN 0      4096                                /run/user/1000/at-spi/bus 27049                     * 0     users:(("dbus-daemon",pid=2131,fd=4))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 22545                     * 22544 users:(("unattended-upgr",pid=1017,fd=9))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 27669                     * 27670 users:(("goa-identity-se",pid=2463,fd=5))                                                                                                                                                                                                  
u_dgr ESTAB  0      0                                                           * 18701                     * 12169 users:(("wpa_supplicant",pid=787,fd=3))                                                                                                                                                                                                    
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 27061                     * 27060 users:(("dbus-daemon",pid=716,fd=75))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 18593                     * 18594 users:(("gnome-remote-de",pid=720,fd=2),("gnome-remote-de",pid=720,fd=1))                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 25738                     * 25470 users:(("pipewire-pulse",pid=1908,fd=2),("pipewire-pulse",pid=1908,fd=1))                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 28404                     * 28405 users:(("update-notifier",pid=3010,fd=11))                                                                                                                                                                                                 
u_str ESTAB  0      0                                                           * 30357                     * 28383 users:(("update-notifier",pid=3010,fd=2),("update-notifier",pid=3010,fd=1))                                                                                                                                                                
u_str ESTAB  0      0                        /home/kali/.cache/ibus/dbus-c9Wha4yT 27699                     * 27698 users:(("ibus-daemon",pid=2214,fd=13))                                                                                                                                                                                                     
u_str LISTEN 0      128                                  /run/user/1000/wayland-0 27157                     * 0     users:(("gnome-shell",pid=2121,fd=40),("gnome-shell",pid=2121,fd=39))                                                                                                                                                                      
u_str ESTAB  0      0                                   /run/user/1000/at-spi/bus 27931                     * 29246 users:(("dbus-daemon",pid=2131,fd=21))                                                                                                                                                                                                     
u_dgr UNCONN 0      0                                                           * 19510                     * 0     users:(("udisksd",pid=761,fd=3))                                                                                                                                                                                                           
u_str ESTAB  0      0                                      /run/snapd-snap.socket 29036                     * 27904 users:(("snapd",pid=734,fd=13))                                                                                                                                                                                                            
u_str ESTAB  0      0                                          /run/user/1000/bus 26435                     * 26434 users:(("dbus-daemon",pid=1909,fd=39))                                                                                                                                                                                                     
u_str LISTEN 0      10                               /run/gdm3/dbus/dbus-W7faRc8X 21891                     * 0     users:(("gdm3",pid=1068,fd=10))                                                                                                                                                                                                            
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 28780                     * 28779 users:(("systemd-journal",pid=381,fd=142),("systemd",pid=1,fd=313))                                                                                                                                                                        
u_str ESTAB  0      0                                          /run/user/1000/bus 26362                     * 26361 users:(("dbus-daemon",pid=1909,fd=34))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 27269                     * 27270 users:(("gsd-a11y-settin",pid=2216,fd=2),("gsd-a11y-settin",pid=2216,fd=1))                                                                                                                                                                
u_str LISTEN 0      10                               /run/gdm3/dbus/dbus-LMxAbYhs 21892                     * 0     users:(("gdm3",pid=1068,fd=11))                                                                                                                                                                                                            
u_dgr ESTAB  0      768                                                         * 18460                     * 18459 users:(("systemd",pid=1,fd=177))                                                                                                                                                                                                           
u_str ESTAB  0      0                                                           * 27874                     * 28916 users:(("tracker-miner-f",pid=2681,fd=2),("tracker-miner-f",pid=2681,fd=1))                                                                                                                                                                
u_dgr UNCONN 0      0                                                           * 25811                     * 0     users:(("wireplumber",pid=1904,fd=26))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 18488                     * 18489 users:(("power-profiles-",pid=725,fd=5))                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 29141                     * 29142 users:(("gnome-shell",pid=2121,fd=96),("gnome-shell",pid=2121,fd=93))                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27398                     * 26413 users:(("systemd-journal",pid=381,fd=128),("systemd",pid=1,fd=299))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 28759                     * 28761 users:(("gnome-shell",pid=2121,fd=85))                                                                                                                                                                                                     
u_str ESTAB  0      0                                          /run/user/1000/bus 27242                     * 27241 users:(("dbus-daemon",pid=1909,fd=31))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 30255                     * 30256 users:(("nautilus",pid=2944,fd=7))                                                                                                                                                                                                         
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 26329                     * 26328 users:(("dbus-daemon",pid=716,fd=77))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 26404                     * 27393 users:(("gsd-screensaver",pid=2250,fd=2),("gsd-screensaver",pid=2250,fd=1))                                                                                                                                                                
u_str ESTAB  0      0                                                           * 26075                     * 27016 users:(("mutter-x11-fram",pid=2794,fd=2),("mutter-x11-fram",pid=2794,fd=1),("Xwayland",pid=2488,fd=2),("Xwayland",pid=2488,fd=1),("gnome-shell",pid=2121,fd=2),("gnome-shell",pid=2121,fd=1))                                              
u_str ESTAB  0      0                                                           * 29016                     * 29017 users:(("xdg-desktop-por",pid=2705,fd=2),("xdg-desktop-por",pid=2705,fd=1))                                                                                                                                                                
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 28916                     * 27874 users:(("systemd-journal",pid=381,fd=145),("systemd",pid=1,fd=316))                                                                                                                                                                        
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 22858                     * 21845 users:(("dbus-daemon",pid=716,fd=38))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 28995                     * 27896 users:(("gsd-xsettings",pid=2693,fd=9))                                                                                                                                                                                                    
u_str ESTAB  0      0                                          /run/user/1000/bus 26456                     * 27410 users:(("dbus-daemon",pid=1909,fd=40))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 26279                     * 27300 users:(("gsd-printer",pid=2353,fd=2),("gsd-printer",pid=2353,fd=1),("gsd-print-notif",pid=2241,fd=2),("gsd-print-notif",pid=2241,fd=1))                                                                                                    
u_str ESTAB  0      0                                                           * 25978                     * 26875 users:(("gvfsd-recent",pid=2969,fd=2),("gvfsd-recent",pid=2969,fd=1),("gvfsd-trash",pid=2567,fd=2),("gvfsd-trash",pid=2567,fd=1),("gvfsd-fuse",pid=2081,fd=2),("gvfsd-fuse",pid=2081,fd=1),("gvfsd",pid=2073,fd=2),("gvfsd",pid=2073,fd=1))
u_str ESTAB  0      0                                                           * 19564                     * 18680 users:(("NetworkManager",pid=783,fd=2),("NetworkManager",pid=783,fd=1))                                                                                                                                                                    
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 29017                     * 29016 users:(("systemd-journal",pid=381,fd=148),("systemd",pid=1,fd=319))                                                                                                                                                                        
u_str ESTAB  0      0                                      /run/snapd-snap.socket 29037                     * 27906 users:(("snapd",pid=734,fd=14))                                                                                                                                                                                                            
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27393                     * 26404 users:(("systemd-journal",pid=381,fd=127),("systemd",pid=1,fd=298))                                                                                                                                                                        
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 26992                     * 26058 users:(("systemd-journal",pid=381,fd=102),("systemd",pid=1,fd=229))                                                                                                                                                                        
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 18336                     * 17398 users:(("systemd-journal",pid=381,fd=29),("systemd",pid=1,fd=242))                                                                                                                                                                         
u_str ESTAB  0      0                                                           * 28785                     * 27809 users:(("evolution-alarm",pid=2270,fd=11))                                                                                                                                                                                                 
u_str ESTAB  0      0                                          /run/user/1000/bus 26417                     * 27397 users:(("dbus-daemon",pid=1909,fd=36))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 26361                     * 26362 users:(("gsd-a11y-settin",pid=2216,fd=5))                                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 18805                     * 18795 users:(("dbus-daemon",pid=716,fd=22))                                                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 29002                     * 29001 users:(("dbus-daemon",pid=716,fd=92))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 27897                     * 28998 users:(("xdg-desktop-por",pid=2696,fd=5))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 21845                     * 22858 users:(("cups-browsed",pid=1031,fd=4))                                                                                                                                                                                                     
u_str ESTAB  0      0                                          /run/user/1000/bus 26390                     * 26389 users:(("dbus-daemon",pid=1909,fd=35))                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27016                     * 26075 users:(("systemd-journal",pid=381,fd=97),("systemd",pid=1,fd=138))                                                                                                                                                                         
u_str ESTAB  0      0                                          /run/user/1000/bus 28994                     * 28993 users:(("dbus-daemon",pid=1909,fd=72))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 27241                     * 27242 users:(("evolution-sourc",pid=2204,fd=6))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 26012                     * 26902 users:(("gnome-session-b",pid=2083,fd=3),("gnome-session-b",pid=2083,fd=2),("gnome-session-b",pid=2083,fd=1))                                                                                                                              
u_str ESTAB  0      0                                                           * 19521                     * 18581 users:(("avahi-daemon",pid=715,fd=10))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 27906                     * 29037 users:(("snapd-desktop-i",pid=2648,fd=13))                                                                                                                                                                                                 
u_str ESTAB  0      0                                                           * 26416                     * 26420 users:(("gsd-print-notif",pid=2241,fd=5))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 29246                     * 27931 users:(("gjs",pid=2747,fd=12))                                                                                                                                                                                                             
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 18489                     * 18488 users:(("dbus-daemon",pid=716,fd=13))                                                                                                                                                                                                      
u_str ESTAB  0      0                        /run/user/1000/gvfsd/socket-JF5bUp1N 30256                     * 30255 users:(("gvfsd-trash",pid=2567,fd=14))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 28868                     * 28870 users:(("gjs",pid=2652,fd=1))                                                                                                                                                                                                              
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 26489                     * 27418 users:(("dbus-daemon",pid=716,fd=82))                                                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 26902                     * 26012 users:(("systemd-journal",pid=381,fd=99),("systemd",pid=1,fd=216))                                                                                                                                                                         
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27349                     * 26337 users:(("systemd-journal",pid=381,fd=121),("systemd",pid=1,fd=290))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 27876                     * 27877 users:(("pipewire-pulse",pid=1908,fd=26))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 26025                     * 26907 users:(("gnome-session-b",pid=2083,fd=6))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 29182                     * 29181 users:(("gjs",pid=2747,fd=3))                                                                                                                                                                                                              
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27374                     * 26383 users:(("systemd-journal",pid=381,fd=125),("systemd",pid=1,fd=296))                                                                                                                                                                        
u_str ESTAB  0      0                                          /run/user/1000/bus 26545                     * 27422 users:(("dbus-daemon",pid=1909,fd=44))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 26310                     * 26311 users:(("gsd-disk-utilit",pid=2259,fd=5))                                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 26717                     * 25864 users:(("systemd-journal",pid=381,fd=93),("systemd",pid=1,fd=133))                                                                                                                                                                         
u_str ESTAB  0      0                                          /run/user/1000/bus 27806                     * 28777 users:(("dbus-daemon",pid=1909,fd=69))                                                                                                                                                                                                     
u_dgr ESTAB  0      0                                                           * 18459                     * 18460 users:(("systemd",pid=1,fd=176))                                                                                                                                                                                                           
u_str LISTEN 0      4096                  /run/systemd/resolve/io.systemd.Resolve 17136                     * 0     users:(("systemd-resolve",pid=535,fd=18))                                                                                                                                                                                                  
u_str ESTAB  0      0                                          /run/user/1000/bus 29296                     * 27968 users:(("dbus-daemon",pid=1909,fd=28))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 29181                     * 29182 users:(("gnome-shell",pid=2121,fd=98),("gnome-shell",pid=2121,fd=95))                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 28915                     * 27873 users:(("dbus-daemon",pid=716,fd=91))                                                                                                                                                                                                      
u_str ESTAB  0      0                                          /run/user/1000/bus 26433                     * 26429 users:(("dbus-daemon",pid=1909,fd=38))                                                                                                                                                                                                     
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 18529                     * 18528 users:(("dbus-daemon",pid=716,fd=16))                                                                                                                                                                                                      
u_str LISTEN 0      4096          /run/systemd/resolve/io.systemd.Resolve.Monitor 17137                     * 0     users:(("systemd-resolve",pid=535,fd=19))                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 26328                     * 26329 users:(("gsd-disk-utilit",pid=2259,fd=7))                                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 26875                     * 25978 users:(("systemd-journal",pid=381,fd=100),("systemd",pid=1,fd=217))                                                                                                                                                                        
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 18680                     * 19564 users:(("systemd-journal",pid=381,fd=39),("systemd",pid=1,fd=233))                                                                                                                                                                         
u_str ESTAB  0      0                                   /run/user/1000/at-spi/bus 27809                     * 28785 users:(("dbus-daemon",pid=2131,fd=16))                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 27305                     * 27306 users:(("gsd-disk-utilit",pid=2259,fd=2),("gsd-disk-utilit",pid=2259,fd=1))                                                                                                                                                                
u_str ESTAB  0      0                                                           * 26383                     * 27374 users:(("gsd-wacom",pid=2255,fd=2),("gsd-wacom",pid=2255,fd=1))                                                                                                                                                                            
u_str ESTAB  0      0                                                           * 29001                     * 29002 users:(("gsd-xsettings",pid=2693,fd=15))                                                                                                                                                                                                   
u_str ESTAB  0      0                                    /run/user/1000/wayland-0 27756                     * 27439 users:(("gnome-shell",pid=2121,fd=65),("gnome-shell",pid=2121,fd=64))                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 28893                     * 28892 users:(("dbus-daemon",pid=716,fd=90))                                                                                                                                                                                                      
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 27300                     * 26279 users:(("systemd-journal",pid=381,fd=113),("systemd",pid=1,fd=283))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 25864                     * 26717 users:(("gdm-wayland-ses",pid=1975,fd=1))                                                                                                                                                                                                  
u_dgr ESTAB  0      0                                                           * 18840                     * 12169 users:(("ModemManager",pid=817,fd=5))                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 19503                     * 18530 users:(("udisksd",pid=761,fd=2),("udisksd",pid=761,fd=1))                                                                                                                                                                                  
u_str LISTEN 0      4096                                 /run/avahi-daemon/socket 17200                     * 0     users:(("avahi-daemon",pid=782,fd=3),("avahi-daemon",pid=715,fd=3),("systemd",pid=1,fd=269))                                                                                                                                               
u_str ESTAB  0      0                                                           * 26413                     * 27398 users:(("gsd-power",pid=2234,fd=2),("gsd-power",pid=2234,fd=1))                                                                                                                                                                            
u_str ESTAB  0      0                                                           * 17398                     * 18336 users:(("power-profiles-",pid=725,fd=2),("power-profiles-",pid=725,fd=1))                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 29241                     * 27926 users:(("gjs",pid=2747,fd=11))                                                                                                                                                                                                             
u_str ESTAB  0      0                                          /run/user/1000/bus 28998                     * 27897 users:(("dbus-daemon",pid=1909,fd=77))                                                                                                                                                                                                     
u_str LISTEN 0      4096                                      /run/cups/cups.sock 17205                     * 0     users:(("cupsd",pid=1010,fd=3),("systemd",pid=1,fd=276))                                                                                                                                                                                   
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 25921                     * 25920 users:(("systemd-journal",pid=381,fd=96),("systemd",pid=1,fd=137))                                                                                                                                                                         
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 18581                     * 19521 users:(("dbus-daemon",pid=716,fd=18))                                                                                                                                                                                                      
u_str LISTEN 0      4096                              /run/dbus/system_bus_socket 17210                     * 0     users:(("dbus-daemon",pid=716,fd=3),("systemd",pid=1,fd=180))                                                                                                                                                                              
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 28870                     * 28868 users:(("systemd-journal",pid=381,fd=143),("systemd",pid=1,fd=314))                                                                                                                                                                        
u_str ESTAB  0      0                                                           * 27422                     * 26545 users:(("gsd-color",pid=2220,fd=7))                                                                                                                                                                                                        
u_str ESTAB  0      0                                          /run/user/1000/bus 26311                     * 26310 users:(("dbus-daemon",pid=1909,fd=33))                                                                                                                                                                                                     
u_dgr ESTAB  0      0                                                           * 26074                     * 12169 users:(("gnome-session-b",pid=2083,fd=16))                                                                                                                                                                                                 
